,Modele,win_size,num_cell,num_epoch,batch_size,dropout,rsme,duration(s)
0,M0,30,20,50,32,0.2,0.0569,31.0
1,M0,30,20,50,32,0.5,0.0667,31.0
2,M0,30,20,50,32,0.8,0.0821,31.0
3,M0,30,20,50,64,0.2,0.0558,19.0
4,M0,30,20,50,64,0.5,0.0643,19.0
5,M0,30,20,50,64,0.8,0.0909,18.0
6,M0,30,20,50,128,0.2,0.0557,13.0
7,M0,30,20,50,128,0.5,0.0744,13.0
8,M0,30,20,50,128,0.8,0.1582,13.0
9,M0,30,20,100,32,0.2,0.048,63.0
10,M0,30,20,100,32,0.5,0.0595,61.0
11,M0,30,20,100,32,0.8,0.088,64.0
12,M0,30,20,100,64,0.2,0.0531,36.0
13,M0,30,20,100,64,0.5,0.0589,38.0
14,M0,30,20,100,64,0.8,0.0956,38.0
15,M0,30,20,100,128,0.2,0.0551,25.0
16,M0,30,20,100,128,0.5,0.0628,26.0
17,M0,30,20,100,128,0.8,0.122,25.0
18,M0,30,50,50,32,0.2,0.0515,42.0
19,M0,30,50,50,32,0.5,0.0547,40.0
20,M0,30,50,50,32,0.8,0.0688,40.0
21,M0,30,50,50,64,0.2,0.0585,33.0
22,M0,30,50,50,64,0.5,0.0629,31.0
23,M0,30,50,50,64,0.8,0.0733,31.0
24,M0,30,50,50,128,0.2,0.0515,23.0
25,M0,30,50,50,128,0.5,0.0572,22.0
26,M0,30,50,50,128,0.8,0.0691,22.0
27,M0,30,50,100,32,0.2,0.0467,81.0
28,M0,30,50,100,32,0.5,0.0525,75.0
29,M0,30,50,100,32,0.8,0.065,75.0
30,M0,30,50,100,64,0.2,0.0489,64.0
31,M0,30,50,100,64,0.5,0.055,63.0
32,M0,30,50,100,64,0.8,0.0686,61.0
33,M0,30,50,100,128,0.2,0.0524,41.0
34,M0,30,50,100,128,0.5,0.0551,40.0
35,M0,30,50,100,128,0.8,0.0667,40.0
36,M0,30,80,50,32,0.2,0.0503,58.0
37,M0,30,80,50,32,0.5,0.055,56.0
38,M0,30,80,50,32,0.8,0.0592,68.0
39,M0,30,80,50,64,0.2,0.053,42.0
40,M0,30,80,50,64,0.5,0.0568,41.0
41,M0,30,80,50,64,0.8,0.0631,41.0
42,M0,30,80,50,128,0.2,0.0513,30.0
43,M0,30,80,50,128,0.5,0.055,29.0
44,M0,30,80,50,128,0.8,0.0604,27.0
45,M0,30,80,100,32,0.2,0.0458,117.0
46,M0,30,80,100,32,0.5,0.0498,132.0
47,M0,30,80,100,32,0.8,0.0579,127.0
48,M0,30,80,100,64,0.2,0.0484,80.0
49,M0,30,80,100,64,0.5,0.0511,79.0
50,M0,30,80,100,64,0.8,0.0602,80.0
51,M0,30,80,100,128,0.2,0.0478,56.0
52,M0,30,80,100,128,0.5,0.0537,55.0
53,M0,30,80,100,128,0.8,0.0624,54.0
54,M0,60,20,50,32,0.2,0.0428,55.0
55,M0,60,20,50,32,0.5,0.0481,55.0
56,M0,60,20,50,32,0.8,0.0818,56.0
57,M0,60,20,50,64,0.2,0.0513,33.0
58,M0,60,20,50,64,0.5,0.0484,32.0
59,M0,60,20,50,64,0.8,0.0863,33.0
60,M0,60,20,50,128,0.2,0.0509,22.0
61,M0,60,20,50,128,0.5,0.0464,22.0
62,M0,60,20,50,128,0.8,0.1406,21.0
63,M0,60,20,100,32,0.2,0.0444,110.0
64,M0,60,20,100,32,0.5,0.0441,127.0
65,M0,60,20,100,32,0.8,0.0989,143.0
66,M0,60,20,100,64,0.2,0.0435,74.0
67,M0,60,20,100,64,0.5,0.0523,75.0
68,M0,60,20,100,64,0.8,0.0773,77.0
69,M0,60,20,100,128,0.2,0.0455,49.0
70,M0,60,20,100,128,0.5,0.0638,49.0
71,M0,60,20,100,128,0.8,0.1023,52.0
72,M0,60,50,50,32,0.2,0.0392,83.0
73,M0,60,50,50,32,0.5,0.0429,82.0
74,M0,60,50,50,32,0.8,0.0532,94.0
75,M0,60,50,50,64,0.2,0.0432,64.0
76,M0,60,50,50,64,0.5,0.048,63.0
77,M0,60,50,50,64,0.8,0.0681,65.0
78,M0,60,50,50,128,0.2,0.0502,47.0
79,M0,60,50,50,128,0.5,0.0445,56.0
80,M0,60,50,50,128,0.8,0.0682,63.0
81,M0,60,50,100,32,0.2,0.0388,177.0
82,M0,60,50,100,32,0.5,0.041,169.0
83,M0,60,50,100,32,0.8,0.0469,170.0
