;Modele;win_size;num_cell;num_epoch;batch_size;dropout;rsme;duration(s)
153;M0;90;80;100;32;0.2;0.0362;399
99;M0;60;80;100;32;0.2;0.0363;292
156;M0;90;80;100;64;0.2;0.0365;259
135;M0;90;50;100;32;0.2;0.0371;222
102;M0;60;80;100;64;0.2;0.0375;162
100;M0;60;80;100;32;0.5;0.0385;283
105;M0;60;80;100;128;0.2;0.0386;126
81;M0;60;50;100;32;0.2;0.0388;177
154;M0;90;80;100;32;0.5;0.039;403
72;M0;60;50;50;32;0.2;0.0392;83
93;M0;60;80;50;64;0.2;0.0393;98
144;M0;90;80;50;32;0.2;0.0394;202
160;M0;90;80;100;128;0.5;0.0396;184
84;M0;60;50;100;64;0.2;0.0399;144
117;M0;90;20;100;32;0.2;0.0399;198
90;M0;60;80;50;32;0.2;0.04;165
103;M0;60;80;100;64;0.5;0.0401;161
126;M0;90;50;50;32;0.2;0.0402;117
159;M0;90;80;100;128;0.2;0.0408;178
82;M0;60;50;100;32;0.5;0.041;169
118;M0;90;20;100;32;0.5;0.0412;232
157;M0;90;80;100;64;0.5;0.0412;264
136;M0;90;50;100;32;0.5;0.0413;218
147;M0;90;80;50;64;0.2;0.0413;127
106;M0;60;80;100;128;0.5;0.0417;130
129;M0;90;50;50;64;0.2;0.0422;93
94;M0;60;80;50;64;0.5;0.0424;99
54;M0;60;20;50;32;0.2;0.0428;55
108;M0;90;20;50;32;0.2;0.0428;90
73;M0;60;50;50;32;0.5;0.0429;82
138;M0;90;50;100;64;0.2;0.0429;204
145;M0;90;80;50;32;0.5;0.0429;204
75;M0;60;50;50;64;0.2;0.0432;64
141;M0;90;50;100;128;0.2;0.0434;141
66;M0;60;20;100;64;0.2;0.0435;74
87;M0;60;50;100;128;0.2;0.0436;102
97;M0;60;80;50;128;0.5;0.0438;74
151;M0;90;80;50;128;0.5;0.0439;93
139;M0;90;50;100;64;0.5;0.044;196
64;M0;60;20;100;32;0.5;0.0441;127
85;M0;60;50;100;64;0.5;0.0441;137
150;M0;90;80;50;128;0.2;0.0441;98
63;M0;60;20;100;32;0.2;0.0444;110
115;M0;90;20;50;128;0.5;0.0444;37
79;M0;60;50;50;128;0.5;0.0445;56
155;M0;90;80;100;32;0.8;0.0445;443
91;M0;60;80;50;32;0.5;0.0449;161
111;M0;90;20;50;64;0.2;0.045;54
148;M0;90;80;50;64;0.5;0.0451;121
88;M0;60;50;100;128;0.5;0.0452;119
127;M0;90;50;50;32;0.5;0.0452;120
161;M0;90;80;100;128;0.8;0.0454;171
69;M0;60;20;100;128;0.2;0.0455;49
123;M0;90;20;100;128;0.2;0.0456;70
130;M0;90;50;50;64;0.5;0.0457;100
45;M0;30;80;100;32;0.2;0.0458;117
96;M0;60;80;50;128;0.2;0.0458;70
101;M0;60;80;100;32;0.8;0.0458;261
120;M0;90;20;100;64;0.2;0.0459;103
132;M0;90;50;50;128;0.2;0.0461;66
109;M0;90;20;50;32;0.5;0.0462;89
61;M0;60;20;50;128;0.5;0.0464;22
142;M0;90;50;100;128;0.5;0.0464;137
27;M0;30;50;100;32;0.2;0.0467;81
83;M0;60;50;100;32;0.8;0.0469;170
124;M0;90;20;100;128;0.5;0.0471;73
137;M0;90;50;100;32;0.8;0.0474;244
146;M0;90;80;50;32;0.8;0.0475;218
51;M0;30;80;100;128;0.2;0.0478;56
107;M0;60;80;100;128;0.8;0.0478;120
9;M0;30;20;100;32;0.2;0.048;63
76;M0;60;50;50;64;0.5;0.048;63
133;M0;90;50;50;128;0.5;0.048;69
55;M0;60;20;50;32;0.5;0.0481;55
48;M0;30;80;100;64;0.2;0.0484;80
58;M0;60;20;50;64;0.5;0.0484;32
30;M0;30;50;100;64;0.2;0.0489;64
92;M0;60;80;50;32;0.8;0.0495;148
149;M0;90;80;50;64;0.8;0.0496;133
46;M0;30;80;100;32;0.5;0.0498;132
78;M0;60;50;50;128;0.2;0.0502;47
36;M0;30;80;50;32;0.2;0.0503;58
104;M0;60;80;100;64;0.8;0.0503;171
60;M0;60;20;50;128;0.2;0.0509;22
152;M0;90;80;50;128;0.8;0.051;86
49;M0;30;80;100;64;0.5;0.0511;79
158;M0;90;80;100;64;0.8;0.0512;257
42;M0;30;80;50;128;0.2;0.0513;30
57;M0;60;20;50;64;0.2;0.0513;33
18;M0;30;50;50;32;0.2;0.0515;42
24;M0;30;50;50;128;0.2;0.0515;23
112;M0;90;20;50;64;0.5;0.0517;52
121;M0;90;20;100;64;0.5;0.0521;146
67;M0;60;20;100;64;0.5;0.0523;75
33;M0;30;50;100;128;0.2;0.0524;41
28;M0;30;50;100;32;0.5;0.0525;75
39;M0;30;80;50;64;0.2;0.053;42
12;M0;30;20;100;64;0.2;0.0531;36
74;M0;60;50;50;32;0.8;0.0532;94
86;M0;60;50;100;64;0.8;0.0532;140
52;M0;30;80;100;128;0.5;0.0537;55
98;M0;60;80;50;128;0.8;0.0539;70
140;M0;90;50;100;64;0.8;0.054;189
19;M0;30;50;50;32;0.5;0.0547;40
128;M0;90;50;50;32;0.8;0.0547;120
31;M0;30;50;100;64;0.5;0.055;63
37;M0;30;80;50;32;0.5;0.055;56
43;M0;30;80;50;128;0.5;0.055;29
114;M0;90;20;50;128;0.2;0.055;34
15;M0;30;20;100;128;0.2;0.0551;25
34;M0;30;50;100;128;0.5;0.0551;40
95;M0;60;80;50;64;0.8;0.0551;96
6;M0;30;20;50;128;0.2;0.0557;13
3;M0;30;20;50;64;0.2;0.0558;19
40;M0;30;80;50;64;0.5;0.0568;41
143;M0;90;50;100;128;0.8;0.0568;140
0;M0;30;20;50;32;0.2;0.0569;31
25;M0;30;50;50;128;0.5;0.0572;22
47;M0;30;80;100;32;0.8;0.0579;127
21;M0;30;50;50;64;0.2;0.0585;33
13;M0;30;20;100;64;0.5;0.0589;38
38;M0;30;80;50;32;0.8;0.0592;68
10;M0;30;20;100;32;0.5;0.0595;61
50;M0;30;80;100;64;0.8;0.0602;80
44;M0;30;80;50;128;0.8;0.0604;27
53;M0;30;80;100;128;0.8;0.0624;54
16;M0;30;20;100;128;0.5;0.0628;26
22;M0;30;50;50;64;0.5;0.0629;31
41;M0;30;80;50;64;0.8;0.0631;41
70;M0;60;20;100;128;0.5;0.0638;49
4;M0;30;20;50;64;0.5;0.0643;19
29;M0;30;50;100;32;0.8;0.065;75
89;M0;60;50;100;128;0.8;0.065;114
134;M0;90;50;50;128;0.8;0.066;62
1;M0;30;20;50;32;0.5;0.0667;31
35;M0;30;50;100;128;0.8;0.0667;40
131;M0;90;50;50;64;0.8;0.0674;91
77;M0;60;50;50;64;0.8;0.0681;65
80;M0;60;50;50;128;0.8;0.0682;63
32;M0;30;50;100;64;0.8;0.0686;61
20;M0;30;50;50;32;0.8;0.0688;40
26;M0;30;50;50;128;0.8;0.0691;22
119;M0;90;20;100;32;0.8;0.0701;194
110;M0;90;20;50;32;0.8;0.073;92
23;M0;30;50;50;64;0.8;0.0733;31
7;M0;30;20;50;128;0.5;0.0744;13
68;M0;60;20;100;64;0.8;0.0773;77
113;M0;90;20;50;64;0.8;0.0817;56
56;M0;60;20;50;32;0.8;0.0818;56
2;M0;30;20;50;32;0.8;0.0821;31
122;M0;90;20;100;64;0.8;0.086;110
59;M0;60;20;50;64;0.8;0.0863;33
11;M0;30;20;100;32;0.8;0.088;64
5;M0;30;20;50;64;0.8;0.0909;18
14;M0;30;20;100;64;0.8;0.0956;38
125;M0;90;20;100;128;0.8;0.0971;73
65;M0;60;20;100;32;0.8;0.0989;143
71;M0;60;20;100;128;0.8;0.1023;52
116;M0;90;20;50;128;0.8;0.1151;34
17;M0;30;20;100;128;0.8;0.122;25
62;M0;60;20;50;128;0.8;0.1406;21
8;M0;30;20;50;128;0.8;0.1582;13
