,Modele,win_size,num_cell,num_epoch,batch_size,dropout,rsme,duration(s)
0,GRU_M0_Sp,60,50,50,64,0.5,0.0857,8.0
1,GRU_M0_Sp,60,50,50,64,0.5,0.0588,7.0
2,GRU_M0_Sp,60,50,50,64,0.5,0.075,8.0
3,GRU_M0_Sp,60,50,50,64,0.5,0.0552,8.0
4,GRU_M0_Sp,60,50,50,64,0.5,0.0646,8.0
5,GRU_M0_Sp,60,50,50,64,0.5,0.0555,8.0
6,GRU_M0_Sp,60,50,50,64,0.5,0.0719,7.0
7,GRU_M0_Sp,60,50,50,64,0.5,0.0767,7.0
8,GRU_M0_Sp,60,50,50,64,0.5,0.085,8.0
9,GRU_M0_Sp,60,50,50,64,0.5,0.0961,8.0
10,GRU_M0_Sp,60,50,50,64,0.5,0.0898,8.0
11,GRU_M0_Sp,60,50,50,64,0.5,0.0583,7.0
12,GRU_M0_Sp,60,50,50,64,0.5,0.103,7.0
13,GRU_M0_Sp,60,50,50,64,0.5,0.0381,8.0
14,GRU_M0_Sp,60,50,50,64,0.5,0.0586,7.0
15,GRU_M0_Sp,60,50,50,64,0.5,0.0446,7.0
16,GRU_M0_Sp,60,50,50,64,0.5,0.118,7.0
17,GRU_M0_Sp,60,50,50,64,0.5,0.0873,8.0
18,GRU_M0_Sp,60,50,50,64,0.5,0.0681,7.0
19,GRU_M0_Sp,60,50,50,64,0.5,0.0657,7.0
20,GRU_M0_Sp,60,50,50,64,0.5,0.0535,7.0
21,GRU_M0_Sp,60,50,50,64,0.5,0.0892,7.0
22,GRU_M0_Sp,60,50,50,64,0.5,0.0318,8.0
23,GRU_M0_Sp,60,50,50,64,0.5,0.0556,8.0
24,GRU_M0_Sp,60,50,50,64,0.5,0.0514,7.0
25,GRU_M0_Sp,60,50,50,64,0.5,0.0726,7.0
26,GRU_M0_Sp,60,50,50,64,0.5,0.0903,8.0
27,GRU_M0_Sp,60,50,50,64,0.5,0.0778,7.0
28,GRU_M0_Sp,60,50,50,64,0.5,0.0768,7.0
29,GRU_M0_Sp,60,50,50,64,0.5,0.0637,7.0
